artist_raw,primary_artist,songs,plays
Devin & Solange & Foxxy Cleopatra,Devin & Solange & Foxxy Cleopatra,1,20
Diam's,Diam's,6,97
Diam's & Vitaa,Diam's,1,3
Diana Panton,Diana Panton,1,32
Diana Ross,Diana Ross,3,125
Dickie Goodman,Dickie Goodman,1,23
Dido,Dido,2,22
Die Atzen,Die Atzen,1,24
Die Woodys,Die Woodys,2,349
Digital Underground,Digital Underground,1,8
Digitalism,Digitalism,2,81
Dillon Francis & DJ Snake,Dillon Francis & DJ Snake,1,15
Dim Zach,Dim Zach,1,283
Dimitri from Paris,Dimitri from Paris,1,136
Dion,Dion,1,28
Diplo,Diplo,2,44
Diplo and GTA,Diplo,1,3
Dire Straits,Dire Straits,1,84
Disclosure,Disclosure,8,191
Discobitch,Discobitch,1,58
Disiz,Disiz,1,25
Disney,Disney,9,486
Divinyls,Divinyls,1,41
Dizzee Rascal,Dizzee Rascal,1,12
Dj Antoine & The Beat Shakers,Dj Antoine & The Beat Shakers,1,125
Dj Dark & MD Dj,Dj Dark & MD Dj,1,25
Dj Snake,Dj Snake,3,118
Djeko & Torres,Djeko & Torres,1,81
Djo,Djo,1,20
Dobie Gray,Dobie Gray,1,33
Doechii,Doechii,1,13
Doja Cat,Doja Cat,4,275
Doja Cat & The Weeknd,Doja Cat,1,65
Dolly Parton,Dolly Parton,1,97
Dominic Pierce,Dominic Pierce,1,57
Don McLean,Don McLean,1,10
Don Omar,Don Omar,1,9
Donavan,Donavan,2,37
Donavans,Donavans,1,38
Donna Summer,Donna Summer,3,133
Donny Electric,Donny Electric,1,42
Donovan,Donovan,1,15
Doobie Brothers,Doobie Brothers,1,19
Doves,Doves,1,138
Dr. Dre,Dr. Dre,2,43
Drake,Drake,11,569
Drake Bell,Drake Bell,2,33
Dreamboy 84,Dreamboy 84,1,101
Dresage &  Slow Shiver,Dresage &  Slow Shiver,1,21
Dropkick Murphys,Dropkick Murphys,2,195
Dschinghis Khan,Dschinghis Khan,1,31
Dua Lipa,Dua Lipa,15,1436
Dua Lipa & Silk City,Dua Lipa,1,279
Dua Lipa & BlackPink,Dua Lipa,1,138
Dua Lipa & Angele,Dua Lipa,1,112
Dua Lipa & Ariana Grande & Nicki Minaj,Dua Lipa,1,107
Dua Lipa & DaBaby,Dua Lipa,1,68
Dua Lipa & Donald Trump,Dua Lipa,1,63
Dubba Jonny,Dubba Jonny,1,14
Duck Sauce,Duck Sauce,6,152
Duke Dumont,Duke Dumont,2,108
Duke Ellington,Duke Ellington,1,59
Duran Duran,Duran Duran,1,18
Durante,Durante,1,37
Dusty Kid,Dusty Kid,4,115
Dusty Springfield,Dusty Springfield,3,117
Dwig,Dwig,1,79
Dwntwn,Dwntwn,1,21
Dynamique,Dynamique,1,39
Dynoro & Mike Demero,Dynoro & Mike Demero,1,71
Début de Soiree,Début de Soiree,1,62
Eagle-Eye Cherry,Eagle-Eye Cherry,1,16
Eagles,Eagles,1,10
Early Eyes,Early Eyes,2,65
"Earth, Wind & Fire","Earth, Wind & Fire",1,26
Eartha Kitt,Eartha Kitt,1,17
East Coast,East Coast,1,16
East Germany,East Germany,1,51
Ed Sheeran,Ed Sheeran,2,43
Ed Sheeran & Passenger,Ed Sheeran,1,15
Eddie Johns,Eddie Johns,1,12
Eddie Murphy,Eddie Murphy,1,53
Eddie Vedder,Eddie Vedder,1,23
Eddy Grant,Eddy Grant,1,52
Eddy Mitchell,Eddy Mitchell,2,87
Eddy de Pretto,Eddy de Pretto,1,50
Edith Piaf,Edith Piaf,3,38
Edmofo,Edmofo,1,107
Edward Maya & Vika Jigulina,Edward Maya & Vika Jigulina,1,17
Edwyn Collins,Edwyn Collins,1,44
Eels,Eels,1,30
Ehrling,Ehrling,1,91
Eiffel 65,Eiffel 65,1,28
Electric Guest,Electric Guest,2,102
Electric Light Orchestra,Electric Light Orchestra,4,526
Electrixx,Electrixx,1,6
Electronic,Electronic,1,32
Elektronomia,Elektronomia,1,101
Elijah Blake,Elijah Blake,1,31
Eliza Rose,Eliza Rose,1,25
Elli Ingraham,Elli Ingraham,1,37
Elli et Jacno,Elli et Jacno,1,20
Ellie Goulding,Ellie Goulding,1,15
Ellie Semoun,Ellie Semoun,1,38
Else,Else,1,31
Elton John,Elton John,2,134
"Elton John, Dua Lipa and PNAU","Elton John, Dua Lipa",1,161
Elvis Crespo,Elvis Crespo,1,50
Elvis Presley,Elvis Presley,4,96
Eminem,Eminem,7,144
Eminem & Dr Dre,Eminem,1,85
Eminem Vs Eurythmic,Eminem,1,40
"Eminem, Dr. Dre & 50 Cent","Eminem, Dr. Dre & 50 Cent",1,7
Emma Peters,Emma Peters,1,49
Empire of the Sun,Empire of the Sun,3,259
Engelbert,Engelbert,1,6
Engelbert Humperdinck,Engelbert Humperdinck,2,209
Enrique Iglesias,Enrique Iglesias,3,63
Enur,Enur,1,17
Epic Rap Battles of History,Epic Rap Battles of History,11,184
Era,Era,2,29
Eric Carmen,Eric Carmen,2,359
Eric Cartman,Eric Cartman,1,17
Eric Prydz,Eric Prydz,3,632
Erika,Erika,1,42
Escort,Escort,1,85
Estelle,Estelle,1,30
Etienne de Crecy,Etienne de Crecy,2,118
Etta James,Etta James,1,45
Europe,Europe,1,48
European,European,2,40
Eurythmics,Eurythmics,1,27
Evergreen,Evergreen,1,41
F.R. David & Winda,F.R. David,1,125
